"btc_total_bitcoins";"btc_market_cap";"btc_hash_rate";"btc_difficulty";"btc_miners_revenue";"btc_transaction_fees";"btc_n_transactions";"btc_estimated_transaction_volume_usd";"btc_trade_volume";"Date";"btc_market_price"
-1.7499528419867572;-0.5079724096277071;-0.4516305892136024;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8501144367314205;-0.46860508838855747;-0.5992279868912186;2009-05-31 00:00:00;0.0
-1.7483862203839455;-0.5079724096277071;-0.4516305892147016;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504242118869946;-0.46860508838855747;-0.5992279868912186;2009-06-02 00:00:00;0.0
-1.7470613613741603;-0.5079724096277071;-0.451630589216597;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8509583069828119;-0.46860508838855747;-0.5992279868912186;2009-06-04 00:00:00;0.0
-1.7462780505727544;-0.5079724096277071;-0.45163058921716553;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8511185355115571;-0.46860508838855747;-0.5992279868912186;2009-06-06 00:00:00;0.0
-1.745543092289954;-0.5079724096277071;-0.451630589215346;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8506058042195725;-0.46860508838855747;-0.5992279868912186;2009-06-08 00:00:00;0.0
-1.7438314131313264;-0.5079724096277071;-0.45163058921492905;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504883032984927;-0.46860508838855747;-0.5992279868912186;2009-06-10 00:00:00;0.0
-1.7420520404466515;-0.5079724096277071;-0.4516305892146258;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504028480831619;-0.46860508838855747;-0.5992279868912186;2009-06-12 00:00:00;0.0
-1.7406594879108188;-0.5079724096277071;-0.4516305892154218;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8506271680234052;-0.46860508838855747;-0.5992279868912186;2009-06-14 00:00:00;0.0
-1.7391605598340547;-0.5079724096277071;-0.45163058921530813;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8505951223176561;-0.46860508838855747;-0.5992279868912186;2009-06-16 00:00:00;0.0
-1.7376326202461272;-0.5079724096277071;-0.4516305892150049;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8505096671023253;-0.46860508838855747;-0.5992279868912186;2009-06-18 00:00:00;0.0
-1.735978964109826;-0.5079724096277071;-0.45163058921489113;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504776213965763;-0.46860508838855747;-0.5992279868912186;2009-06-20 00:00:00;0.0
-1.734480036033062;-0.5079724096277071;-0.4516305892150428;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8505096671023253;-0.46860508838855747;-0.5992279868912186;2009-06-22 00:00:00;0.0
-1.7329230849339712;-0.5079724096277071;-0.4516305892148532;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504455756908272;-0.46860508838855747;-0.5992279868912186;2009-06-24 00:00:00;0.0
-1.7313467928274386;-0.5079724096277071;-0.4516305892147016;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8504135299850782;-0.46860508838855747;-0.5992279868912186;2009-06-26 00:00:00;0.0
-1.7300316043213744;-0.5079724096277071;-0.45163058921614213;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8508194422578994;-0.46860508838855747;-0.5992279868912186;2009-06-28 00:00:00;0.0
